Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
0,0.89,0.91,0.9,2553.0,0.58,0.7,0.64,134.0,Decision Tree_rfe
1,0.89,0.93,0.91,2553.0,0.75,0.82,0.78,186.0,Decision Tree_rfe
2,0.89,0.83,0.86,2553.0,0.88,0.78,0.82,606.0,Decision Tree_rfe
3,0.96,0.97,0.96,2553.0,0.77,0.81,0.79,93.0,Decision Tree_rfe
4,0.96,0.95,0.95,2553.0,0.66,0.84,0.74,79.0,Decision Tree_rfe
accuracy,0.92,0.92,0.92,0.92,0.78,0.78,0.78,0.78,Decision Tree_rfe
macro avg,0.92,0.92,0.92,12765.0,0.73,0.79,0.75,1098.0,Decision Tree_rfe
weighted avg,0.92,0.92,0.92,12765.0,0.79,0.78,0.78,1098.0,Decision Tree_rfe
balanced_accuracy,,,0.92,,,,0.79,,Decision Tree_rfe
0,0.88,0.91,0.9,2553.0,0.46,0.59,0.52,134.0,Decision Tree_pca
1,0.89,0.89,0.89,2553.0,0.63,0.72,0.67,186.0,Decision Tree_pca
2,0.87,0.82,0.84,2553.0,0.84,0.7,0.76,606.0,Decision Tree_pca
3,0.95,0.95,0.95,2553.0,0.64,0.77,0.7,93.0,Decision Tree_pca
4,0.94,0.96,0.95,2553.0,0.51,0.66,0.58,79.0,Decision Tree_pca
accuracy,0.91,0.91,0.91,0.91,0.69,0.69,0.69,0.69,Decision Tree_pca
macro avg,0.91,0.91,0.91,12765.0,0.62,0.69,0.65,1098.0,Decision Tree_pca
weighted avg,0.91,0.91,0.91,12765.0,0.72,0.69,0.7,1098.0,Decision Tree_pca
balanced_accuracy,,,0.91,,,,0.69,,Decision Tree_pca
0,0.96,0.98,0.97,2553.0,0.73,0.75,0.74,134.0,Random Forest_rfe
1,0.98,0.97,0.97,2553.0,0.81,0.85,0.83,186.0,Random Forest_rfe
2,0.98,0.94,0.96,2553.0,0.9,0.84,0.87,606.0,Random Forest_rfe
3,0.98,0.99,0.99,2553.0,0.83,0.88,0.85,93.0,Random Forest_rfe
4,0.98,0.99,0.98,2553.0,0.7,0.89,0.78,79.0,Random Forest_rfe
accuracy,0.97,0.97,0.97,0.97,0.84,0.84,0.84,0.84,Random Forest_rfe
macro avg,0.97,0.97,0.97,12765.0,0.79,0.84,0.82,1098.0,Random Forest_rfe
weighted avg,0.97,0.97,0.97,12765.0,0.85,0.84,0.84,1098.0,Random Forest_rfe
balanced_accuracy,,,0.97,,,,0.84,,Random Forest_rfe
0,0.94,0.96,0.95,2553.0,0.66,0.69,0.67,134.0,Random Forest_pca
1,0.97,0.95,0.96,2553.0,0.75,0.78,0.76,186.0,Random Forest_pca
2,0.97,0.91,0.94,2553.0,0.87,0.79,0.83,606.0,Random Forest_pca
3,0.96,0.99,0.98,2553.0,0.73,0.85,0.79,93.0,Random Forest_pca
4,0.95,0.99,0.97,2553.0,0.57,0.77,0.66,79.0,Random Forest_pca
accuracy,0.96,0.96,0.96,0.96,0.78,0.78,0.78,0.78,Random Forest_pca
macro avg,0.96,0.96,0.96,12765.0,0.72,0.78,0.74,1098.0,Random Forest_pca
weighted avg,0.96,0.96,0.96,12765.0,0.79,0.78,0.78,1098.0,Random Forest_pca
balanced_accuracy,,,0.96,,,,0.78,,Random Forest_pca
