Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
0,1.0,1.0,1.0,145.0,1.0,0.97,0.98,33.0,Random Forest_none
1,1.0,1.0,1.0,154.0,0.93,1.0,0.97,28.0,Random Forest_none
2,1.0,1.0,1.0,144.0,1.0,1.0,1.0,33.0,Random Forest_none
3,1.0,1.0,1.0,149.0,1.0,0.97,0.99,34.0,Random Forest_none
4,1.0,1.0,1.0,135.0,0.96,1.0,0.98,46.0,Random Forest_none
5,1.0,1.0,1.0,135.0,0.94,0.98,0.96,47.0,Random Forest_none
6,1.0,1.0,1.0,146.0,0.97,0.97,0.97,35.0,Random Forest_none
7,1.0,1.0,1.0,145.0,1.0,0.97,0.99,34.0,Random Forest_none
8,1.0,1.0,1.0,144.0,1.0,0.93,0.97,30.0,Random Forest_none
9,1.0,1.0,1.0,140.0,0.97,0.95,0.96,40.0,Random Forest_none
