Metric,f1-score-train,precision-train,recall-train,support-train,f1-score-test,precision-test,recall-test,support-test,Model
balanced_accuracy,1.0,,,,0.979063534504711,,,,Random Forest_rf
kappa,1.0,,,,0.978317544720064,,,,Random Forest_rf
accuracy,1.0,1.0,1.0,1.0,0.9805555555555555,0.9805555555555555,0.9805555555555555,0.9805555555555555,Random Forest_rf
macro avg,1.0,1.0,1.0,1437.0,0.9807078351658584,0.9829828880928746,0.979063534504711,360.0,Random Forest_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9805657108244338,0.9812104426510149,0.9805555555555555,360.0,Random Forest_rf
balanced_accuracy,1.0,,,,0.9774661779605458,,,,XGBoost_rf
kappa,1.0,,,,0.9752277243052151,,,,XGBoost_rf
accuracy,1.0,1.0,1.0,1.0,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,XGBoost_rf
macro avg,1.0,1.0,1.0,1437.0,0.977839379722735,0.9784467001428936,0.9774661779605458,360.0,XGBoost_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9777168444178942,0.9778813951021397,0.9777777777777777,360.0,XGBoost_rf
