Metric;precision-train;recall-train;f1-score-train;support-train;precision-test;recall-test;f1-score-test;support-test;Model;Feature_Selection_Type;N_Features;Total_Variance_Explained
0;1,000;1,000;1,000;145,000;1,000;1,000;1,000;33,000;Logistic Regression_rfe;selector;49;
1;0,994;1,000;0,997;154,000;0,966;1,000;0,982;28,000;Logistic Regression_rfe;selector;49;
2;1,000;1,000;1,000;144,000;1,000;1,000;1,000;33,000;Logistic Regression_rfe;selector;49;
3;1,000;1,000;1,000;149,000;0,971;0,971;0,971;34,000;Logistic Regression_rfe;selector;49;
4;1,000;1,000;1,000;135,000;1,000;0,978;0,989;46,000;Logistic Regression_rfe;selector;49;
5;1,000;1,000;1,000;135,000;0,936;0,936;0,936;47,000;Logistic Regression_rfe;selector;49;
6;1,000;1,000;1,000;146,000;0,971;0,971;0,971;35,000;Logistic Regression_rfe;selector;49;
7;1,000;1,000;1,000;145,000;1,000;0,971;0,985;34,000;Logistic Regression_rfe;selector;49;
8;0,993;0,993;0,993;144,000;0,967;0,967;0,967;30,000;Logistic Regression_rfe;selector;49;
9;1,000;0,993;0,996;140,000;0,927;0,950;0,938;40,000;Logistic Regression_rfe;selector;49;
0;1,000;1,000;1,000;145,000;1,000;1,000;1,000;33,000;Logistic Regression_pca;pca;54;0,991
1;0,994;1,000;0,997;154,000;0,966;1,000;0,982;28,000;Logistic Regression_pca;pca;54;0,991
2;1,000;1,000;1,000;144,000;1,000;1,000;1,000;33,000;Logistic Regression_pca;pca;54;0,991
3;1,000;1,000;1,000;149,000;0,971;0,971;0,971;34,000;Logistic Regression_pca;pca;54;0,991
4;1,000;1,000;1,000;135,000;1,000;0,978;0,989;46,000;Logistic Regression_pca;pca;54;0,991
5;1,000;1,000;1,000;135,000;0,917;0,936;0,926;47,000;Logistic Regression_pca;pca;54;0,991
6;1,000;1,000;1,000;146,000;0,971;0,971;0,971;35,000;Logistic Regression_pca;pca;54;0,991
7;1,000;1,000;1,000;145,000;1,000;0,971;0,985;34,000;Logistic Regression_pca;pca;54;0,991
8;0,993;0,993;0,993;144,000;0,967;0,967;0,967;30,000;Logistic Regression_pca;pca;54;0,991
9;1,000;0,993;0,996;140,000;0,950;0,950;0,950;40,000;Logistic Regression_pca;pca;54;0,991
0;1,000;1,000;1,000;145,000;1,000;1,000;1,000;33,000;Logistic Regression_rf;selector;42;
1;0,987;1,000;0,994;154,000;0,966;1,000;0,982;28,000;Logistic Regression_rf;selector;42;
2;1,000;1,000;1,000;144,000;1,000;1,000;1,000;33,000;Logistic Regression_rf;selector;42;
3;1,000;1,000;1,000;149,000;0,971;0,971;0,971;34,000;Logistic Regression_rf;selector;42;
4;1,000;1,000;1,000;135,000;1,000;0,978;0,989;46,000;Logistic Regression_rf;selector;42;
5;1,000;1,000;1,000;135,000;0,939;0,979;0,958;47,000;Logistic Regression_rf;selector;42;
6;1,000;1,000;1,000;146,000;0,971;0,971;0,971;35,000;Logistic Regression_rf;selector;42;
7;1,000;1,000;1,000;145,000;1,000;0,971;0,985;34,000;Logistic Regression_rf;selector;42;
8;0,993;0,986;0,990;144,000;0,967;0,967;0,967;30,000;Logistic Regression_rf;selector;42;
9;1,000;0,993;0,996;140,000;0,974;0,950;0,962;40,000;Logistic Regression_rf;selector;42;
0;1,000;1,000;1,000;145,000;1,000;1,000;1,000;33,000;Logistic Regression_mi;selector;50;
1;0,994;1,000;0,997;154,000;0,966;1,000;0,982;28,000;Logistic Regression_mi;selector;50;
2;1,000;1,000;1,000;144,000;1,000;1,000;1,000;33,000;Logistic Regression_mi;selector;50;
3;1,000;1,000;1,000;149,000;0,971;0,971;0,971;34,000;Logistic Regression_mi;selector;50;
4;1,000;1,000;1,000;135,000;1,000;0,978;0,989;46,000;Logistic Regression_mi;selector;50;
5;1,000;1,000;1,000;135,000;0,936;0,936;0,936;47,000;Logistic Regression_mi;selector;50;
6;1,000;1,000;1,000;146,000;0,971;0,971;0,971;35,000;Logistic Regression_mi;selector;50;
7;1,000;1,000;1,000;145,000;1,000;0,971;0,985;34,000;Logistic Regression_mi;selector;50;
8;0,993;0,993;0,993;144,000;0,967;0,967;0,967;30,000;Logistic Regression_mi;selector;50;
9;1,000;0,993;0,996;140,000;0,927;0,950;0,938;40,000;Logistic Regression_mi;selector;50;
0;1,000;1,000;1,000;145,000;1,000;1,000;1,000;33,000;Logistic Regression_none;original;64;
1;0,994;1,000;0,997;154,000;0,966;1,000;0,982;28,000;Logistic Regression_none;original;64;
2;1,000;1,000;1,000;144,000;1,000;1,000;1,000;33,000;Logistic Regression_none;original;64;
3;1,000;1,000;1,000;149,000;0,971;0,971;0,971;34,000;Logistic Regression_none;original;64;
4;1,000;1,000;1,000;135,000;1,000;0,978;0,989;46,000;Logistic Regression_none;original;64;
5;1,000;1,000;1,000;135,000;0,936;0,936;0,936;47,000;Logistic Regression_none;original;64;
6;1,000;1,000;1,000;146,000;0,971;0,971;0,971;35,000;Logistic Regression_none;original;64;
7;1,000;1,000;1,000;145,000;1,000;0,971;0,985;34,000;Logistic Regression_none;original;64;
8;0,993;0,993;0,993;144,000;0,967;0,967;0,967;30,000;Logistic Regression_none;original;64;
9;1,000;0,993;0,996;140,000;0,927;0,950;0,938;40,000;Logistic Regression_none;original;64;
0;1,000;1,000;1,000;145,000;0,969;0,939;0,954;33,000;Decision Tree_rfe;selector;21;
1;1,000;1,000;1,000;154,000;0,750;0,857;0,800;28,000;Decision Tree_rfe;selector;21;
2;1,000;1,000;1,000;144,000;0,867;0,788;0,825;33,000;Decision Tree_rfe;selector;21;
3;1,000;1,000;1,000;149,000;0,806;0,853;0,829;34,000;Decision Tree_rfe;selector;21;
4;1,000;1,000;1,000;135,000;0,872;0,891;0,882;46,000;Decision Tree_rfe;selector;21;
5;1,000;1,000;1,000;135,000;0,952;0,851;0,899;47,000;Decision Tree_rfe;selector;21;
6;1,000;1,000;1,000;146,000;0,892;0,943;0,917;35,000;Decision Tree_rfe;selector;21;
7;1,000;1,000;1,000;145,000;0,765;0,765;0,765;34,000;Decision Tree_rfe;selector;21;
8;1,000;1,000;1,000;144,000;0,625;0,667;0,645;30,000;Decision Tree_rfe;selector;21;
9;1,000;1,000;1,000;140,000;0,868;0,825;0,846;40,000;Decision Tree_rfe;selector;21;
0;1,000;1,000;1,000;145,000;0,967;0,879;0,921;33,000;Decision Tree_pca;pca;16;0,732
1;1,000;1,000;1,000;154,000;0,658;0,893;0,758;28,000;Decision Tree_pca;pca;16;0,732
2;1,000;1,000;1,000;144,000;0,879;0,879;0,879;33,000;Decision Tree_pca;pca;16;0,732
3;1,000;1,000;1,000;149,000;0,714;0,735;0,725;34,000;Decision Tree_pca;pca;16;0,732
4;1,000;1,000;1,000;135,000;0,909;0,870;0,889;46,000;Decision Tree_pca;pca;16;0,732
5;1,000;1,000;1,000;135,000;0,792;0,809;0,800;47,000;Decision Tree_pca;pca;16;0,732
6;1,000;1,000;1,000;146,000;0,941;0,914;0,928;35,000;Decision Tree_pca;pca;16;0,732
7;1,000;1,000;1,000;145,000;0,853;0,853;0,853;34,000;Decision Tree_pca;pca;16;0,732
8;1,000;1,000;1,000;144,000;0,700;0,700;0,700;30,000;Decision Tree_pca;pca;16;0,732
9;1,000;1,000;1,000;140,000;0,647;0,550;0,595;40,000;Decision Tree_pca;pca;16;0,732
0;1,000;1,000;1,000;145,000;0,943;1,000;0,971;33,000;Decision Tree_rf;selector;18;
1;1,000;1,000;1,000;154,000;0,568;0,750;0,646;28,000;Decision Tree_rf;selector;18;
2;1,000;1,000;1,000;144,000;0,812;0,788;0,800;33,000;Decision Tree_rf;selector;18;
