Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
0,0.89,0.9,0.9,2553.0,0.6,0.69,0.65,134.0,Decision Tree_rfe
1,0.89,0.93,0.91,2553.0,0.73,0.82,0.77,186.0,Decision Tree_rfe
2,0.89,0.84,0.86,2553.0,0.88,0.78,0.82,606.0,Decision Tree_rfe
3,0.96,0.97,0.96,2553.0,0.78,0.84,0.81,93.0,Decision Tree_rfe
4,0.96,0.95,0.95,2553.0,0.66,0.82,0.73,79.0,Decision Tree_rfe
0,0.88,0.91,0.89,2553.0,0.49,0.67,0.57,134.0,Decision Tree_pca
1,0.9,0.89,0.89,2553.0,0.64,0.71,0.67,186.0,Decision Tree_pca
2,0.86,0.84,0.85,2553.0,0.84,0.71,0.77,606.0,Decision Tree_pca
3,0.95,0.95,0.95,2553.0,0.66,0.76,0.71,93.0,Decision Tree_pca
4,0.95,0.96,0.95,2553.0,0.6,0.7,0.64,79.0,Decision Tree_pca
